rules,,support,confidence,lift,count
483,"{Acer Desktop,Dell Desktop} => {iMac}",0.011896289,0.430147059,1.679434825,117
58,{Etekcity Power Extension Cord Cable} => {iMac},0.011896289,0.387417219,1.512603551,117
65,{Dell 2 Desktop} => {iMac},0.011896289,0.357798165,1.396961077,117
262,"{ASUS Monitor,HP Laptop} => {iMac}",0.011794611,0.582914573,2.275889172,116
263,"{ASUS Monitor,iMac} => {HP Laptop}",0.011794611,0.426470588,2.197138939,116
45,{Alienware Laptop} => {iMac},0.011591256,0.414545455,1.618521058,114
50,{HDMI Cable 6ft} => {iMac},0.011489578,0.44140625,1.72339439,113
338,"{Apple Magic Keyboard,iMac} => {Lenovo Desktop Computer}",0.0113879,0.352201258,2.379051766,112
337,"{Apple Magic Keyboard,Lenovo Desktop Computer} => {iMac}",0.0113879,0.516129032,2.015136575,112
528,"{Apple Earpods,iMac} => {Dell Desktop}",0.011184545,0.277777778,2.072795481,110
527,"{Apple Earpods,Dell Desktop} => {iMac}",0.011184545,0.411985019,1.608524279,110
70,{Slim Wireless Mouse} => {iMac},0.011184545,0.295698925,1.154505329,110
372,"{Acer Aspire,iMac} => {Dell Desktop}",0.011082867,0.360927152,2.693261414,109
